file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ang_vel[deg/s]
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,14,3,61.51,420.18,2082.17,552.67,0.00465
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,15,6,70.5,563.44,2082.07,697.01,0.00465
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,16,7,61.53,705.46,2001.17,835.56,0.00465
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,22,8,52.52,1777.87,2082.93,1898.67,0.004683
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,23,9,52.01,1905.02,2088.65,2021.91,0.004682
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,24,10,52.61,2029.14,2083.36,2144.02,0.004682
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,6,18,481.03,1305.77,2086.39,1397.85,0.004683
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,7,20,52.04,1409.38,2088.77,1524.83,0.004683
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,8,24,52.08,1527.82,2088.67,1645.6,0.004683
OMEGA.2022-01-04T03:15:01.467.astred.cal.fits,22,1,59.65,2022.37,2083.1,2281.74,0.005127
OMEGA.2022-01-04T03:15:01.467.astred.cal.fits,24,2,70.23,2574.88,2088.08,2830.76,0.005176
OMEGA.2022-01-04T03:15:01.467.astred.cal.fits,31,3,51.52,1060.73,2063.24,1191.95,0.00465
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,22,1,61.46,421.14,2081.44,563.63,0.4325
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,23,2,62.97,574.43,2088.18,713.71,0.4319
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,24,3,61.39,723.79,2081.71,861.4,0.4313
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,7,4,561.73,11.85,2079.2,115.4,0.4344
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,8,5,54.02,120.09,2077.09,261.47,0.4338
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,1,1,2022.47,4061.96,545.51,2.29,0.3492
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,10,2,54.18,709.52,729.01,108.01,0.02266
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,15,4,2078.15,3018.44,1014.13,106.76,0.3494
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,17,5,60.23,3484.82,2087.4,1674.27,0.02259
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,18,6,58.05,1579.75,1826.13,6.03,0.02258
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,4,7,1530.18,4089.16,2089.78,3589.81,0.02261
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,6,8,958.19,3953.08,2086.52,2946.59,0.02265
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,6,9,911.39,3994.74,2087.46,2945.64,0.02265
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,7,10,54.01,2850.77,2082.43,1041.62,0.02264
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,8,11,60.27,935.89,1101.46,7.48,0.02262
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,9,12,57.91,2617.51,2087.26,809.41,0.02267
OMEGA.2022-01-09T00:57:12.382.fits,10,1,52.02,3006.01,2084.57,3364.96,0.1173
OMEGA.2022-01-09T00:57:12.382.fits,11,2,59.85,3387.95,2084.25,3747.04,0.117
OMEGA.2022-01-09T00:57:12.382.fits,12,3,59.88,3765.95,2084.32,4124.8,0.1168
OMEGA.2022-01-09T00:57:12.382.fits,25,4,59.81,4146.98,303.91,4190.82,0.1166
OMEGA.2022-01-09T00:57:12.382.fits,30,5,399.26,129.32,2085.68,424.18,0.1163
OMEGA.2022-01-09T00:57:12.382.fits,31,6,52.01,442.08,2084.63,800.62,0.1161
OMEGA.2022-01-09T00:57:12.382.fits,32,7,59.76,824.85,1997.38,1169.32,0.1159
OMEGA.2022-01-09T00:57:12.382.fits,9,9,60.32,2629.74,2085.0,2987.22,0.1175
OMEGA.2022-01-09T02:00:38.023.fits,22,2,62.41,2917.52,585.52,52.89,0.02018
OMEGA.2022-01-09T02:00:38.023.fits,25,3,1222.32,4176.75,1976.82,106.09,0.02
OMEGA.2022-01-09T02:00:38.023.fits,29,4,387.7,4187.02,1140.98,136.47,0.01985
OMEGA.2022-01-09T01:31:30.618.fits,17,1,470.3,3.9,2088.35,2857.02,0.3396
OMEGA.2022-01-09T01:31:30.618.fits,22,3,870.55,24.49,2087.86,2175.99,0.34
OMEGA.2022-01-09T01:31:30.618.fits,27,5,1065.69,110.15,2088.26,1912.24,0.3402
OMEGA.2022-01-09T01:31:30.618.fits,28,6,52.73,2104.9,1228.81,4187.8,0.3404
OMEGA.2022-01-09T01:31:30.618.fits,32,7,1457.92,124.26,2084.59,1231.18,0.3405
OMEGA.2022-01-26T08:07:16.556.fits,31,1,1769.03,4192.51,2073.41,3640.92,0.4197
OMEGA.2022-01-26T08:07:16.556.fits,32,2,55.94,3413.0,1873.75,119.34,0.4187
OMEGA.2022-01-26T05:00:53.938.fits,5,2,60.21,2809.83,533.45,4080.57,0.01139
OMEGA.2022-01-26T04:12:07.539.fits,13,3,105.13,2292.13,2080.39,2050.39,0.005971
OMEGA.2022-01-26T04:12:07.539.fits,14,4,54.99,2033.81,2085.92,1785.94,0.005952
OMEGA.2022-01-26T04:12:07.539.fits,15,5,54.0,1773.45,2088.63,1522.87,0.005932
OMEGA.2022-01-26T04:12:07.539.fits,16,7,52.9,1512.43,2089.68,1262.91,0.005913
OMEGA.2022-01-26T04:12:07.539.fits,29,11,51.93,1251.76,2084.76,1002.96,0.005894
OMEGA.2022-01-26T04:12:07.539.fits,30,12,56.5,993.01,2081.29,744.37,0.005875
OMEGA.2022-01-26T04:12:07.539.fits,31,13,55.59,729.48,2080.67,483.23,0.005856
OMEGA.2022-01-26T04:12:07.539.fits,32,15,54.78,470.78,2082.95,225.06,0.005837
OMEGA.2022-01-26T01:17:51.352.fits,10,1,51.81,2851.34,2086.04,2457.52,0.09944
OMEGA.2022-01-26T01:17:51.352.fits,11,2,52.17,2437.25,2086.99,2046.54,0.09954
OMEGA.2022-01-26T01:17:51.352.fits,12,3,53.17,2024.9,2085.32,1630.87,0.09965
OMEGA.2022-01-26T01:17:51.352.fits,25,5,53.18,1611.27,2088.22,1221.68,0.09975
OMEGA.2022-01-26T01:17:51.352.fits,26,6,54.49,1201.56,2088.76,807.93,0.09986
OMEGA.2022-01-26T01:17:51.352.fits,27,7,54.92,787.38,2089.01,392.85,0.09996
OMEGA.2022-01-26T01:17:51.352.fits,9,9,56.64,3265.33,2084.14,2873.58,0.09933
OMEGA.2022-01-26T03:29:32.063.fits,13,1,119.5,3632.97,2082.47,3642.29,0.03159
OMEGA.2022-01-26T03:29:32.063.fits,14,2,67.51,3641.06,2056.48,3651.94,0.03159
OMEGA.2022-01-26T03:29:32.063.fits,15,3,55.5,3655.72,2080.48,3664.72,0.03159
OMEGA.2022-01-26T03:29:32.063.fits,16,4,55.0,3667.56,2084.97,3679.43,0.03159
OMEGA.2022-01-26T03:29:32.063.fits,29,5,69.0,3680.98,2084.96,3693.86,0.03159
OMEGA.2022-01-26T03:29:32.063.fits,30,6,67.5,3701.97,2056.46,3713.51,0.03159
OMEGA.2022-01-26T03:29:32.063.fits,31,7,57.49,3714.58,2014.46,3725.2,0.0316
OMEGA.2022-01-26T03:29:32.063.fits,32,8,69.0,3730.83,2000.93,3746.2,0.0316
OMEGA.2022-01-26T03:47:46.116.fits,13,1,71.95,396.35,2084.53,513.79,0.004623
OMEGA.2022-01-26T03:47:46.116.fits,14,2,56.96,522.73,2087.7,637.89,0.004623
OMEGA.2022-01-26T03:47:46.116.fits,15,3,54.97,647.01,2081.62,763.59,0.004622
OMEGA.2022-01-26T03:47:46.116.fits,16,4,54.46,773.6,2079.11,890.02,0.004622
OMEGA.2022-01-26T03:47:46.116.fits,29,5,54.81,899.58,446.15,922.19,0.004622
OMEGA.2022-01-27T00:53:00.150.fits,24,1,919.26,41.17,1636.02,4072.96,0.6529
OMEGA.2022-01-27T01:15:52.153.fits,13,2,106.3,2104.71,2086.43,3868.85,0.5611
OMEGA.2022-01-27T00:46:55.409.fits,31,2,56.8,4090.81,2088.14,3692.61,0.1039
OMEGA.2022-01-27T00:46:55.409.fits,32,3,56.52,3673.18,1980.72,3300.3,0.104
OMEGA.2022-01-27T02:24:18.744.fits,13,1,117.46,1791.52,641.54,144.91,0.1532
OMEGA.2022-01-27T02:24:18.744.fits,3,2,57.88,1410.44,501.11,9.9,0.1521
OMEGA.2022-01-27T02:24:18.744.fits,6,3,57.07,3745.85,1223.97,37.09,0.1525
OMEGA.2022-01-27T01:21:56.444.fits,11,2,80.43,2517.79,1210.51,4157.01,0.3398
OMEGA.2022-01-27T01:21:56.444.fits,15,5,1501.15,136.96,2088.98,970.62,0.3401
OMEGA.2022-01-27T01:21:56.444.fits,16,7,63.07,1149.01,2087.64,4096.71,0.3404
OMEGA.2022-01-27T01:21:56.444.fits,20,11,1033.34,4064.79,56.74,351.05,0.2787
OMEGA.2022-01-27T01:21:56.444.fits,24,14,2086.65,3645.16,1131.48,8.51,0.2788
OMEGA.2022-01-27T01:21:56.444.fits,5,17,59.5,332.41,2052.69,3207.03,0.3387
OMEGA.2022-01-27T03:55:20.289.fits,13,1,142.49,2088.67,2086.23,2120.91,0.0314
OMEGA.2022-01-27T03:55:20.289.fits,14,2,59.98,2120.92,2083.69,2155.32,0.0314
OMEGA.2022-01-27T03:55:20.289.fits,15,3,60.03,2157.95,2083.75,2191.38,0.03141
OMEGA.2022-01-27T03:55:20.289.fits,16,4,52.51,2194.62,2086.18,2231.02,0.03141
OMEGA.2022-01-27T03:55:20.289.fits,29,5,63.02,2235.1,2082.71,2270.2,0.03142
OMEGA.2022-01-27T03:55:20.289.fits,30,6,52.51,2277.39,2086.18,2313.98,0.03142
OMEGA.2022-01-27T03:55:20.289.fits,31,7,61.49,2315.37,2086.15,2352.28,0.03142
OMEGA.2022-01-27T03:55:20.289.fits,32,8,52.5,2357.7,2005.14,2395.21,0.03143
OMEGA.2022-01-27T01:09:47.582.fits,10,1,57.71,2607.02,2084.26,1629.47,0.09759
OMEGA.2022-01-27T01:09:47.582.fits,11,3,54.16,1575.84,2083.69,604.5,0.098
OMEGA.2022-01-27T01:09:47.582.fits,20,7,1825.75,4089.5,2083.25,3965.03,0.1002
OMEGA.2022-01-27T01:09:47.582.fits,22,8,58.55,2539.74,2080.94,1567.39,0.09925
OMEGA.2022-01-27T01:09:47.582.fits,23,10,55.61,1509.76,2081.7,531.26,0.09966
OMEGA.2022-01-27T01:09:47.582.fits,24,11,52.98,477.93,1013.58,13.44,0.09991
OMEGA.2022-01-27T01:09:47.582.fits,8,15,1102.71,4093.55,2084.13,3621.6,0.09844
OMEGA.2022-01-27T01:09:47.582.fits,9,16,58.51,3634.93,2087.75,2662.97,0.09718
OMEGA.2022-01-27T04:01:24.760.fits,1,1,82.41,2568.9,2087.46,2944.92,0.003777
OMEGA.2022-01-27T04:01:24.760.fits,13,2,141.46,491.62,2085.39,600.92,0.004622
OMEGA.2022-01-27T04:01:24.760.fits,14,3,53.59,603.76,1788.86,701.22,0.004622
OMEGA.2022-01-27T04:01:24.760.fits,2,4,60.88,2968.38,2086.6,3348.08,0.003783
OMEGA.2022-01-27T04:01:24.760.fits,22,5,53.07,110.18,2086.56,497.25,0.00381
OMEGA.2022-01-27T04:01:24.760.fits,23,6,60.94,522.38,2086.78,901.42,0.003816
OMEGA.2022-01-27T04:01:24.760.fits,3,7,53.03,3364.41,2087.19,3747.93,0.00379
OMEGA.2022-01-27T04:01:24.760.fits,4,8,52.79,3769.19,1762.97,4089.97,0.003795
OMEGA.2022-01-27T03:49:15.748.fits,30,2,56.99,3828.13,2087.05,3217.2,0.01532
OMEGA.2022-01-27T03:49:15.748.fits,31,3,55.1,3184.72,1227.51,2833.1,0.01536
OMEGA.2022-01-27T06:44:26.807.fits,12,1,1693.54,121.56,2086.25,1441.38,0.02728
OMEGA.2022-01-27T06:44:26.807.fits,25,2,54.18,1801.38,766.73,4190.38,0.02733
