file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ra_start[deg],dec_start[deg],ra_end[deg],dec_end[deg],JD_start[UTC],JD_end[UTC],norad_number,angle_offset[deg],pixel_offset[px],range[m],phase_angle[deg],ang_vel[deg/s]
OMEGA.2022-01-22T03:14:15.347.fits,32,3,48.0,2053.9,1344.0,2138.2,121.42967809434094,14.766612473653824,121.50914166254395,14.771461016741426,59601.13540823711,59601.13560114894,26378.0,,,,,
OMEGA.2022-01-22T03:14:15.347.fits,32,4,1344.2,2135.5,2096.0,2181.8,121.50915358277275,14.771300931977969,121.55525023011286,14.773946796185786,59601.134906705,59601.135018588975,26378.0,,,,,
OMEGA.2022-01-22T01:02:06.275.fits,13,1,544.0,4200.0,336.0,100.0,44.485521488010704,-15.967184990261352,44.472059987968585,-16.210207215540844,59601.04495232692,59601.04495936399,15099.0,,,,,
OMEGA.2022-01-22T01:02:06.275.fits,17,2,1872.0,0.0,2096.0,640.4,45.09595905027523,-16.985219384765408,45.10981885985754,-16.94724714548205,59601.0437913998,59601.04379343288,13165.0,,,,,
OMEGA.2022-01-22T01:02:06.275.fits,18,3,48.0,832.8,1232.0,4100.0,45.115450648426034,-16.93583765644125,45.188616275396846,-16.742086064574128,59601.0437939018,59601.04380344087,13165.0,,,,,
OMEGA.2022-01-22T01:02:06.275.fits,22,4,1376.0,0.0,2096.0,1953.7,45.1975073116854,-16.720793806543668,45.24192030407173,-16.60491774291001,59601.04380446579,59601.04381011287,13165.0,,,,,
OMEGA.2022-01-22T01:02:06.275.fits,23,5,48.0,2178.1,752.0,4100.0,45.24777909058467,-16.591606723359558,45.29114591215431,-16.477606491896246,59601.04381058179,59601.04381622886,13165.0,,,,,
OMEGA.2022-01-22T01:02:06.275.fits,27,6,768.0,100.0,2096.0,3719.3,45.292130989628674,-16.475055766773853,45.373795391922414,-16.26035029331208,59601.04381641978,59601.043826792855,13165.0,,,,,
OMEGA.2022-01-22T01:02:06.275.fits,28,7,48.0,3943.8,128.0,4200.0,45.37944931478081,-16.247030534465704,45.38435760833084,-16.23183278117339,59601.043827539776,59601.04382818285,13165.0,,,,,
OMEGA.2022-01-22T01:02:06.275.fits,32,8,272.0,100.0,1776.0,4200.0,45.39320321119463,-16.21041448337782,45.48542206443079,-15.967163076885306,59601.043829207774,59601.04384124885,13165.0,,,,,
OMEGA.2022-01-22T01:02:06.275.fits,9,10,320.0,4200.0,128.0,100.0,44.47101598601775,-16.23160587175508,44.458507074630326,-16.47463869751026,59601.044959832914,59601.04496686999,15099.0,,,,,
OMEGA.2022-01-22T08:05:58.167.fits,28,1,1840.0,4200.0,2096.0,2982.6,202.5227816087211,-47.35984600223737,202.54620774038355,-47.431870967847615,59601.33750046091,59601.33750351798,45143.0,,,,,
OMEGA.2022-01-22T08:05:58.167.fits,32,2,928.0,4200.0,1760.0,100.0,202.43975559869423,-47.09587269665137,202.51548974731028,-47.33848956320577,59601.33748906292,59601.33749962598,45143.0,,,,,
OMEGA.2022-01-22T03:12:31.027.fits,15,1,880.0,1586.5,2096.0,1637.2,120.82429429752372,14.73926688048562,120.89883531416903,14.742327645445062,59601.133697985206,59601.13387876423,26378.0,,,,,
OMEGA.2022-01-22T03:12:31.027.fits,16,2,48.0,1637.5,2096.0,1765.4,120.90459776094332,14.742348695761104,121.0301461003962,14.749966822560468,59601.1339673819,59601.13431627117,26378.0,,,,,
OMEGA.2022-01-22T03:12:31.027.fits,29,3,48.0,1733.6,688.0,1775.6,121.03578615594292,14.74808161693234,121.07502157430709,14.750567863085308,59601.13429592177,59601.13439119421,26378.0,,,,,
