file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ang_vel[deg/s]
OMEGA.2022-02-01T02:47:28.440.fits,30,6,48.0,3783.6,2096.0,3815.4,0.0316
OMEGA.2022-02-01T02:47:28.440.fits,31,7,48.0,3783.6,2096.0,3783.3,0.0316
OMEGA.2022-02-01T02:47:28.440.fits,32,8,48.0,3783.6,2096.0,3783.3,0.0316
OMEGA.2022-02-01T01:13:30.954.fits,2,6,48.0,1249.2,2096.0,3523.2,0.09764
OMEGA.2022-02-01T01:13:30.954.fits,25,7,416.0,100.0,2096.0,1925.5,0.097
OMEGA.2022-02-01T01:13:30.954.fits,26,8,48.0,1989.8,2096.0,4200.0,0.09687
OMEGA.2022-02-01T01:13:30.954.fits,3,9,48.0,3587.5,512.0,4100.0,0.09748
OMEGA.2022-02-01T01:13:30.954.fits,31,10,256.0,100.0,2096.0,2085.7,0.09662
OMEGA.2022-02-01T01:13:30.954.fits,32,11,48.0,2182.0,1904.0,4200.0,0.09647
OMEGA.2022-02-01T01:13:30.954.fits,5,12,2096.0,3138.8,640.0,0.0,0.477
OMEGA.2022-02-01T01:13:30.954.fits,7,14,848.0,0.0,2096.0,1345.1,0.09737
OMEGA.2022-02-01T01:13:30.954.fits,8,15,48.0,1409.4,2096.0,3651.3,0.09726
OMEGA.2022-02-01T01:38:14.148.fits,17,2,640.0,4100.0,544.0,0.0,0.2189
OMEGA.2022-02-01T01:38:14.148.fits,25,4,848.0,4200.0,752.0,100.0,0.2204
OMEGA.2022-02-01T01:38:14.148.fits,29,6,944.0,4200.0,848.0,100.0,0.2211
OMEGA.2022-01-13T00:46:07.341.astred.cal.fits,10,1,48.0,3751.6,2096.0,2662.2,0.00638
OMEGA.2022-01-13T00:46:07.341.astred.cal.fits,11,2,48.0,2598.4,2096.0,1509.1,0.006409
OMEGA.2022-01-13T00:46:07.341.astred.cal.fits,12,3,48.0,1413.3,2096.0,356.0,0.006438
OMEGA.2022-01-13T00:46:07.341.astred.cal.fits,13,4,48.0,452.3,672.0,100.0,0.00634
OMEGA.2022-01-13T00:46:07.341.astred.cal.fits,22,5,48.0,3171.1,2096.0,2081.8,0.006496
OMEGA.2022-01-13T00:46:07.341.astred.cal.fits,23,6,48.0,2018.0,2096.0,928.7,0.006526
OMEGA.2022-01-13T00:46:07.341.astred.cal.fits,24,7,48.0,832.8,1632.0,0.0,0.006551
OMEGA.2022-01-13T00:46:07.341.astred.cal.fits,9,9,1360.0,4200.0,2096.0,3815.4,0.006358
OMEGA.2022-01-13T02:16:30.627.astred.cal.fits,17,2,48.0,3683.6,2096.0,3619.3,0.02998
OMEGA.2022-01-13T02:16:30.627.astred.cal.fits,18,3,48.0,3587.5,2096.0,3523.2,0.02997
OMEGA.2022-01-13T02:16:30.627.astred.cal.fits,19,4,48.0,3491.4,2096.0,3427.1,0.02996
OMEGA.2022-01-13T02:16:30.627.astred.cal.fits,2,5,48.0,3971.9,2096.0,3907.6,0.03002
OMEGA.2022-01-13T02:16:30.627.astred.cal.fits,20,6,48.0,3395.3,2096.0,3331.0,0.02994
OMEGA.2022-01-13T02:16:30.627.astred.cal.fits,3,7,48.0,3875.8,2096.0,3811.5,0.03001
OMEGA.2022-01-13T02:16:30.627.astred.cal.fits,4,8,48.0,3779.7,2096.0,3715.4,0.02999
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,22,1,48.0,3267.2,2096.0,3202.9,0.03049
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,22,2,48.0,3363.3,2096.0,3331.0,0.03049
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,22,3,48.0,1621.0,2096.0,1741.0,0.004682
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,23,4,48.0,3299.2,2096.0,3234.9,0.03048
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,23,5,48.0,3171.1,2096.0,3106.8,0.03044
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,23,6,48.0,1747.0,2096.0,1863.0,0.004682
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,24,7,48.0,1871.0,2096.0,1986.0,0.004682
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,24,8,48.0,3075.0,2096.0,3042.7,0.03047
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,24,9,48.0,3203.1,2096.0,3170.8,0.03047
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,5,10,48.0,3811.7,2096.0,3747.4,0.03055
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,5,11,48.0,3683.6,2096.0,3619.3,0.0305
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,6,12,48.0,3715.6,2096.0,3651.3,0.03054
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,7,13,48.0,3491.4,2096.0,3459.1,0.03053
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,7,14,48.0,3619.5,2096.0,3587.2,0.03053
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,8,15,48.0,3427.3,2096.0,3363.0,0.03052
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,8,16,48.0,3523.4,2096.0,3491.2,0.03052
OMEGA.2022-01-13T02:28:39.808.astred.cal.fits,1,1,48.0,192.2,528.0,0.0,0.02948
OMEGA.2022-01-13T02:28:39.808.astred.cal.fits,17,2,48.0,1153.1,2096.0,1345.1,0.004703
OMEGA.2022-01-13T02:28:39.808.astred.cal.fits,18,3,48.0,1313.3,2096.0,1505.2,0.004703
OMEGA.2022-01-13T02:28:39.808.astred.cal.fits,19,4,48.0,1473.4,2096.0,1633.3,0.004703
OMEGA.2022-01-13T02:28:39.808.astred.cal.fits,2,5,48.0,736.7,2096.0,896.6,0.004704
OMEGA.2022-01-13T02:28:39.808.astred.cal.fits,20,6,48.0,1601.6,2096.0,1793.5,0.004703
OMEGA.2022-01-13T02:28:39.808.astred.cal.fits,3,7,48.0,864.8,2096.0,1056.8,0.004703
OMEGA.2022-01-13T02:28:39.808.astred.cal.fits,4,8,48.0,1025.0,2096.0,1184.9,0.004703
OMEGA.2022-01-13T02:28:39.808.astred.cal.fits,5,9,48.0,1138.0,2096.0,1258.0,0.004682
OMEGA.2022-01-13T02:28:39.808.astred.cal.fits,6,10,48.0,1261.0,2096.0,1379.0,0.004682
OMEGA.2022-01-13T02:28:39.808.astred.cal.fits,7,11,48.0,1387.0,2096.0,1504.0,0.004682
OMEGA.2022-01-13T02:28:39.808.astred.cal.fits,8,12,48.0,1508.0,435.0,1530.0,0.004682
OMEGA.2022-01-13T06:35:33.321.astred.cal.fits,17,1,48.0,3171.1,2096.0,2818.5,0.004797
OMEGA.2022-01-13T06:35:33.321.astred.cal.fits,18,3,48.0,2786.7,1392.0,2551.5,0.004797
OMEGA.2022-01-13T06:35:33.321.astred.cal.fits,3,9,48.0,4003.9,2096.0,3651.3,0.004797
OMEGA.2022-01-13T06:35:33.321.astred.cal.fits,5,13,48.0,352.3,2000.0,0.0,0.004796
OMEGA.2022-01-08T04:30:31.115.astred.cal.fits,22,2,48.0,960.9,2096.0,1120.8,0.00239
OMEGA.2022-01-08T04:30:31.115.astred.cal.fits,23,3,48.0,1121.1,2096.0,1281.0,0.002392
