file_name,IRSKY_TEMP,TEMP,WINDSP,PRES,PRES,FWHM,FWHM,RHUM,TAU0
OMEGA.2022-01-05T05:55:51.673.fits,-92.6,14.13,3.4,742.8,742.8,0.3,0.36,14.0,0.017948
OMEGA.2022-01-05T05:55:51.673.fits,-92.6,14.13,3.4,742.8,742.8,0.3,0.36,14.0,0.017948
OMEGA.2022-01-05T05:55:51.673.fits,-92.6,14.13,3.4,742.8,742.8,0.3,0.36,14.0,0.017948
OMEGA.2022-01-05T05:55:51.673.fits,-92.6,14.13,3.4,742.8,742.8,0.3,0.36,14.0,0.017948
OMEGA.2022-01-05T06:01:56.454.fits,-92.6,14.13,2.95,742.8,742.7,0.36,0.38,14.0,0.018321
OMEGA.2022-01-05T06:01:56.454.fits,-92.6,14.13,2.95,742.8,742.7,0.36,0.38,14.0,0.018321
OMEGA.2022-01-05T06:01:56.454.fits,-92.6,14.13,2.95,742.8,742.7,0.36,0.38,14.0,0.018321
OMEGA.2022-01-05T06:01:56.454.fits,-92.6,14.13,2.95,742.8,742.7,0.36,0.38,14.0,0.018321
OMEGA.2022-01-05T06:01:56.454.fits,-92.6,14.13,2.95,742.8,742.7,0.36,0.38,14.0,0.018321
OMEGA.2022-01-05T06:08:00.955.fits,-92.6,14.02,3.4,742.7,742.7,0.4,0.35,14.0,0.019994
OMEGA.2022-01-05T06:08:00.955.fits,-92.6,14.02,3.4,742.7,742.7,0.4,0.35,14.0,0.019994
OMEGA.2022-01-05T06:08:00.955.fits,-92.6,14.02,3.4,742.7,742.7,0.4,0.35,14.0,0.019994
OMEGA.2022-01-05T06:08:00.955.fits,-92.6,14.02,3.4,742.7,742.7,0.4,0.35,14.0,0.019994
OMEGA.2022-01-05T06:14:06.166.fits,-93.0,13.89,2.42,742.8,742.7,0.35,0.4,14.0,0.017652
OMEGA.2022-01-05T06:14:06.166.fits,-93.0,13.89,2.42,742.8,742.7,0.35,0.4,14.0,0.017652
OMEGA.2022-01-05T06:14:06.166.fits,-93.0,13.89,2.42,742.8,742.7,0.35,0.4,14.0,0.017652
OMEGA.2022-01-05T06:14:06.166.fits,-93.0,13.89,2.42,742.8,742.7,0.35,0.4,14.0,0.017652
OMEGA.2022-01-05T06:14:06.166.fits,-93.0,13.89,2.42,742.8,742.7,0.35,0.4,14.0,0.017652
OMEGA.2022-01-05T06:14:06.166.fits,-93.0,13.89,2.42,742.8,742.7,0.35,0.4,14.0,0.017652
OMEGA.2022-01-05T06:36:26.320.fits,-92.9,13.62,2.85,742.6,742.6,0.61,0.4,14.0,0.015354
OMEGA.2022-01-05T06:36:26.320.fits,-92.9,13.62,2.85,742.6,742.6,0.61,0.4,14.0,0.015354
OMEGA.2022-01-05T06:36:26.320.fits,-92.9,13.62,2.85,742.6,742.6,0.61,0.4,14.0,0.015354
OMEGA.2022-01-05T06:36:26.320.fits,-92.9,13.62,2.85,742.6,742.6,0.61,0.4,14.0,0.015354
OMEGA.2022-01-05T06:36:26.320.fits,-92.9,13.62,2.85,742.6,742.6,0.61,0.4,14.0,0.015354
OMEGA.2022-01-05T06:56:39.953.fits,-92.6,13.61,4.25,742.5,742.5,0.53,0.39,14.0,0.013382
OMEGA.2022-01-05T06:56:39.953.fits,-92.6,13.61,4.25,742.5,742.5,0.53,0.39,14.0,0.013382
OMEGA.2022-01-05T06:56:39.953.fits,-92.6,13.61,4.25,742.5,742.5,0.53,0.39,14.0,0.013382
OMEGA.2022-01-05T06:56:39.953.fits,-92.6,13.61,4.25,742.5,742.5,0.53,0.39,14.0,0.013382
OMEGA.2022-01-05T06:56:39.953.fits,-92.6,13.61,4.25,742.5,742.5,0.53,0.39,14.0,0.013382
OMEGA.2022-01-05T06:56:39.953.fits,-92.6,13.61,4.25,742.5,742.5,0.53,0.39,14.0,0.013382
OMEGA.2022-01-06T01:17:50.898.astred.cal.fits,-93.6,13.88,5.8,742.7,742.7,0.67,0.62,11.0,0.007976
OMEGA.2022-01-06T01:17:50.898.astred.cal.fits,-93.6,13.88,5.8,742.7,742.7,0.67,0.62,11.0,0.007976
OMEGA.2022-01-06T01:17:50.898.astred.cal.fits,-93.6,13.88,5.8,742.7,742.7,0.67,0.62,11.0,0.007976
OMEGA.2022-01-06T01:17:50.898.astred.cal.fits,-93.6,13.88,5.8,742.7,742.7,0.67,0.62,11.0,0.007976
OMEGA.2022-01-06T01:17:50.898.astred.cal.fits,-93.6,13.88,5.8,742.7,742.7,0.67,0.62,11.0,0.007976
OMEGA.2022-01-06T01:17:50.898.astred.cal.fits,-93.6,13.88,5.8,742.7,742.7,0.67,0.62,11.0,0.007976
OMEGA.2022-01-06T02:13:19.028.astred.cal.fits,-93.6,13.4,5.08,743.0,743.0,0.57,0.58,14.0,0.008158
OMEGA.2022-01-06T02:13:19.028.astred.cal.fits,-93.6,13.4,5.08,743.0,743.0,0.57,0.58,14.0,0.008158
OMEGA.2022-01-06T02:13:19.028.astred.cal.fits,-93.6,13.4,5.08,743.0,743.0,0.57,0.58,14.0,0.008158
OMEGA.2022-01-06T02:13:19.028.astred.cal.fits,-93.6,13.4,5.08,743.0,743.0,0.57,0.58,14.0,0.008158
OMEGA.2022-01-06T02:13:19.028.astred.cal.fits,-93.6,13.4,5.08,743.0,743.0,0.57,0.58,14.0,0.008158
OMEGA.2022-01-06T02:13:19.028.astred.cal.fits,-93.6,13.4,5.08,743.0,743.0,0.57,0.58,14.0,0.008158
OMEGA.2022-01-06T02:19:23.658.astred.cal.fits,-93.6,13.22,5.83,743.0,742.9,0.58,0.56,14.0,0.008024
OMEGA.2022-01-06T02:19:23.658.astred.cal.fits,-93.6,13.22,5.83,743.0,742.9,0.58,0.56,14.0,0.008024
OMEGA.2022-01-06T02:57:46.595.astred.cal.fits,-92.8,13.75,3.85,743.1,743.1,0.44,0.42,15.0,0.016296
OMEGA.2022-01-06T02:57:46.595.astred.cal.fits,-92.8,13.75,3.85,743.1,743.1,0.44,0.42,15.0,0.016296
OMEGA.2022-01-06T02:57:46.595.astred.cal.fits,-92.8,13.75,3.85,743.1,743.1,0.44,0.42,15.0,0.016296
OMEGA.2022-01-06T02:57:46.595.astred.cal.fits,-92.8,13.75,3.85,743.1,743.1,0.44,0.42,15.0,0.016296
